Phone_ID,Brand,Model,Price,RAM,Storage,Camera,Battery,Rating,Reviews
1,Samsung,Galaxy A15,14999,4,128,50,5000,4.1,1250
2,Samsung,Galaxy A25,19999,8,128,50,5000,4.3,1840
3,Samsung,Galaxy A35,27999,8,256,50,5000,4.4,2100
4,Samsung,Galaxy A55,37999,8,256,50,5000,4.5,3200
5,Samsung,Galaxy S23,54999,8,256,50,3900,4.6,4500
6,Samsung,Galaxy S24,74999,8,256,50,4000,4.7,5200
7,Samsung,Galaxy S24 Ultra,129999,12,512,200,5000,4.8,6800
8,Apple,iPhone 13,49999,4,128,12,3227,4.5,6200
9,Apple,iPhone 14,59999,6,128,12,3279,4.6,7100
10,Apple,iPhone 15,69999,6,128,48,3349,4.7,8500
11,Apple,iPhone 15 Plus,79999,6,256,48,4383,4.7,6200
12,Apple,iPhone 15 Pro,99999,8,256,48,3274,4.8,7800
13,Apple,iPhone 15 Pro Max,119999,8,512,48,4441,4.9,9200
14,OnePlus,Nord CE 3,19999,8,128,50,5000,4.2,2300
15,OnePlus,Nord CE 4,24999,8,128,50,5500,4.3,2800
16,OnePlus,Nord 4,29999,8,256,50,5500,4.4,3500
17,OnePlus,12R,39999,8,256,50,5500,4.5,4200
18,OnePlus,OnePlus 12,64999,12,256,50,5400,4.6,5100
19,OnePlus,OnePlus 12,74999,16,512,50,5400,4.7,3900
20,Xiaomi,Redmi 13C,9999,4,128,50,5000,4.0,1600
21,Xiaomi,Redmi Note 13,15999,6,128,108,5000,4.2,2400
22,Xiaomi,Redmi Note 13 Pro,24999,8,256,200,5100,4.4,3200
23,Xiaomi,Redmi Note 13 Pro+,31999,12,256,200,5000,4.5,3800
24,Xiaomi,Xiaomi 14 Civi,42999,8,256,50,4700,4.5,2900
25,Xiaomi,Xiaomi 14,69999,12,512,50,4610,4.6,3400
26,Realme,Realme C65,11999,4,128,50,5000,4.1,1400
27,Realme,Realme 12x,13999,6,128,50,5000,4.2,1800
28,Realme,Realme 12 Pro,24999,8,128,50,5000,4.4,2600
29,Realme,Realme 12 Pro+,29999,12,256,64,5000,4.5,3100
30,Realme,GT 6T,30999,8,256,50,5500,4.5,3600
31,Vivo,Vivo Y28,13999,6,128,50,6000,4.1,1700
32,Vivo,Vivo Y200,21999,8,128,50,5000,4.3,2100
33,Vivo,Vivo V30,33999,8,256,50,5000,4.5,3300
34,Vivo,Vivo V40,39999,12,256,50,5500,4.6,4100
35,Vivo,Vivo X100,69999,16,512,50,5400,4.7,3700
36,Oppo,Oppo A59,14999,6,128,50,5000,4.1,1500
37,Oppo,Oppo A79,19999,8,128,50,5000,4.2,1900
38,Oppo,Oppo Reno 11,29999,8,256,50,5000,4.4,2700
39,Oppo,Oppo Reno 12,36999,12,256,50,5000,4.5,3200
40,Oppo,Oppo Find X7,59999,16,512,50,5000,4.7,3600
41,Motorola,Moto G34,10999,4,128,50,5000,4.1,1300
42,Motorola,Moto G64,14999,8,128,50,6000,4.3,2200
43,Motorola,Edge 50 Fusion,22999,8,128,50,5000,4.4,2500
44,Motorola,Edge 50 Pro,31999,12,256,50,4500,4.5,2900
45,Motorola,Edge 50 Ultra,59999,16,512,50,4500,4.7,3400
46,Nokia,Nokia G42,12999,6,128,50,5000,4.0,1100
47,Nokia,Nokia C32,8999,4,128,50,5000,3.9,900
48,Nokia,Nokia X30,19999,8,256,50,4200,4.2,1500
49,Google,Pixel 8,75999,8,128,50,4575,4.6,4200
50,Google,Pixel 8 Pro,106999,12,256,50,5050,4.7,5100
